graph_kind,structure,operation,smallest_size,largest_size,smallest_time_ms,largest_time_ms,growth_factor
dense,Adjacency List,adjacency_check,25,100,0.021125,0.034709,1.643
dense,Adjacency List,bellman_ford,25,100,0.317541,26.574583,83.6887
dense,Adjacency List,bfs,25,100,0.092625,1.308459,14.1264
dense,Adjacency List,build,25,100,0.0875,1.356875,15.5071
dense,Adjacency List,dfs,25,100,0.083292,1.290625,15.4952
dense,Adjacency List,dijkstra,25,100,0.651333,17.38775,26.6956
dense,Adjacency List,neighbor_scan,25,100,0.010083,0.079916,7.9258
dense,Adjacency List,remove_edges,25,100,0.099416,1.458,14.6656
dense,Adjacency Matrix,adjacency_check,25,100,0.024834,0.038917,1.5671
dense,Adjacency Matrix,bellman_ford,25,100,0.313541,6.433625,20.5192
dense,Adjacency Matrix,bfs,25,100,0.0945,1.295625,13.7103
dense,Adjacency Matrix,build,25,100,0.093709,1.407083,15.0155
dense,Adjacency Matrix,dfs,25,100,0.084917,1.479542,17.4234
dense,Adjacency Matrix,dijkstra,25,100,0.621792,16.636916,26.7564
dense,Adjacency Matrix,neighbor_scan,25,100,0.0275,0.348042,12.6561
dense,Adjacency Matrix,remove_edges,25,100,0.10325,1.4515,14.0581
sparse,Adjacency List,adjacency_check,25,100,0.009459,0.032208,3.405
sparse,Adjacency List,bellman_ford,25,100,0.164166,0.420208,2.5597
sparse,Adjacency List,bfs,25,100,0.061209,0.461459,7.5391
sparse,Adjacency List,build,25,100,0.018709,0.084833,4.5343
sparse,Adjacency List,dfs,25,100,0.048334,0.388458,8.037
sparse,Adjacency List,dijkstra,25,100,0.068833,0.717584,10.425
sparse,Adjacency List,neighbor_scan,25,100,0.006375,0.024167,3.7909
sparse,Adjacency List,remove_edges,25,100,0.030708,0.078208,2.5468
sparse,Adjacency Matrix,adjacency_check,25,100,0.011167,0.038333,3.4327
sparse,Adjacency Matrix,bellman_ford,25,100,0.122708,0.534417,4.3552
sparse,Adjacency Matrix,bfs,25,100,0.074209,0.588834,7.9348
sparse,Adjacency Matrix,build,25,100,0.033125,0.234458,7.078
sparse,Adjacency Matrix,dfs,25,100,0.061625,0.674333,10.9425
sparse,Adjacency Matrix,dijkstra,25,100,0.084542,1.138958,13.4721
sparse,Adjacency Matrix,neighbor_scan,25,100,0.017625,0.179917,10.2081
sparse,Adjacency Matrix,remove_edges,25,100,0.036209,0.22025,6.0827
